Year,District,Crime_Type,Count
2014,Thiruvallur,Cyber Crime,500
2014,Thiruvallur,Road Accident Deaths,279
2014,Thiruvallur,Economic Crime,800
2014,Thiruvannamalai,Murder,300
2014,Thiruvannamalai,Assault,1000
2014,Thiruvannamalai,Theft,1000
2014,Thiruvannamalai,Robbery,300
2014,Thiruvannamalai,Kidnapping,300
2014,Thiruvannamalai,Cyber Crime,500
2014,Thiruvannamalai,Road Accident Deaths,431
2014,Thiruvannamalai,Economic Crime,800
2014,Thiruvarur,Murder,300
2014,Thiruvarur,Assault,1000
2014,Thiruvarur,Theft,1000
2014,Thiruvarur,Robbery,300
2014,Thiruvarur,Kidnapping,300
2014,Thiruvarur,Cyber Crime,500
2014,Thiruvarur,Road Accident Deaths,142
2014,Thiruvarur,Economic Crime,800
2014,Thoothukudi,Murder,300
2014,Thoothukudi,Assault,1000
2014,Thoothukudi,Theft,1000
2014,Thoothukudi,Robbery,300
2014,Thoothukudi,Kidnapping,300
2014,Thoothukudi,Cyber Crime,500
2014,Thoothukudi,Road Accident Deaths,326
2014,Thoothukudi,Economic Crime,800
2014,Tiruppur,Murder,300
2014,Tiruppur,Assault,1000
2014,Tiruppur,Theft,1000
2014,Tiruppur,Robbery,300
2014,Tiruppur,Kidnapping,300
2014,Tiruppur,Cyber Crime,500
2014,Tiruppur,Road Accident Deaths,549
2014,Tiruppur,Economic Crime,800
2014,Tiruppur City,Murder,300
2014,Tiruppur City,Assault,1000
2014,Tiruppur City,Theft,1000
2014,Tiruppur City,Robbery,300
2014,Tiruppur City,Kidnapping,300
2014,Tiruppur City,Cyber Crime,500
2014,Tiruppur City,Road Accident Deaths,126
2014,Tiruppur City,Economic Crime,800
2014,Trichy,Murder,300
2014,Trichy,Assault,1000
2014,Trichy,Theft,1000
2014,Trichy,Robbery,300
2014,Trichy,Kidnapping,300
2014,Trichy,Cyber Crime,500
2014,Trichy,Road Accident Deaths,438
2014,Trichy,Economic Crime,800
2014,Trichy City,Murder,300
2014,Trichy City,Assault,1000
2014,Trichy City,Theft,1000
2014,Trichy City,Robbery,300
2014,Trichy City,Kidnapping,300
2014,Trichy City,Cyber Crime,500
2014,Trichy City,Road Accident Deaths,110
2014,Trichy City,Economic Crime,800
2014,Vellore,Murder,300
2014,Vellore,Assault,1000
2014,Vellore,Theft,1000
2014,Vellore,Robbery,300
2014,Vellore,Kidnapping,300
2014,Vellore,Cyber Crime,500
2014,Vellore,Road Accident Deaths,209
2014,Vellore,Economic Crime,800
2014,Villupuram,Murder,300
2014,Villupuram,Assault,1000
2014,Villupuram,Theft,1000
2014,Villupuram,Robbery,300
2014,Villupuram,Kidnapping,300
2014,Villupuram,Cyber Crime,500
2014,Villupuram,Road Accident Deaths,442
2014,Villupuram,Economic Crime,800
2014,Virudhunagar,Murder,300
2014,Virudhunagar,Assault,1000
2014,Virudhunagar,Theft,1000
2014,Virudhunagar,Robbery,300
2014,Virudhunagar,Kidnapping,300
2014,Virudhunagar,Cyber Crime,500
2014,Virudhunagar,Road Accident Deaths,363
2014,Virudhunagar,Economic Crime,800
2014,Cyber Cell,Murder,300
2014,Cyber Cell,Assault,1000
2014,Cyber Cell,Theft,1000
2014,Cyber Cell,Robbery,300
2014,Cyber Cell,Kidnapping,300
2014,Cyber Cell,Cyber Crime,500
2014,Cyber Cell,Road Accident Deaths,0
2014,Cyber Cell,Economic Crime,800
2014,Other Units,Murder,300
2014,Other Units,Assault,1000
2014,Other Units,Theft,1000
2014,Other Units,Robbery,300
2014,Other Units,Kidnapping,300
2014,Other Units,Cyber Crime,500
2014,Other Units,Road Accident Deaths,0
2014,Other Units,Economic Crime,800
2014,Chengalpattu,Murder,300
2014,Chengalpattu,Assault,1000
2014,Chengalpattu,Theft,1000
2014,Chengalpattu,Robbery,300
2014,Chengalpattu,Kidnapping,300
2014,Chengalpattu,Cyber Crime,500
2014,Chengalpattu,Road Accident Deaths,397
2014,Chengalpattu,Economic Crime,800
2014,Kallakurichi,Murder,300
2014,Kallakurichi,Assault,1000
2014,Kallakurichi,Theft,1000
2014,Kallakurichi,Robbery,300
2014,Kallakurichi,Kidnapping,300
2014,Kallakurichi,Cyber Crime,500
2014,Kallakurichi,Road Accident Deaths,224
2014,Kallakurichi,Economic Crime,800
2014,Ranipet,Murder,300
2014,Ranipet,Assault,1000
2014,Ranipet,Theft,1000
2014,Ranipet,Robbery,300
2014,Ranipet,Kidnapping,300
2014,Ranipet,Cyber Crime,500
2014,Ranipet,Road Accident Deaths,210
2014,Ranipet,Economic Crime,800
2014,Tiruppattur,Murder,300
2014,Tiruppattur,Assault,1000
2014,Tiruppattur,Theft,1000
2014,Tiruppattur,Robbery,300
2014,Tiruppattur,Kidnapping,300
2014,Tiruppattur,Cyber Crime,500
2014,Tiruppattur,Road Accident Deaths,191
2014,Tiruppattur,Economic Crime,800
2014,Tenkasi,Murder,300
2014,Tenkasi,Assault,1000
2014,Tenkasi,Theft,1000
2014,Tenkasi,Robbery,300
2014,Tenkasi,Kidnapping,300
2014,Tenkasi,Cyber Crime,500
2014,Tenkasi,Road Accident Deaths,198
2014,Tenkasi,Economic Crime,800
2014,TOTAL,Murder,300
2014,TOTAL,Assault,1000
2014,TOTAL,Theft,1000
2014,TOTAL,Robbery,300
2014,TOTAL,Kidnapping,300
2014,TOTAL,Cyber Crime,500
2014,TOTAL,Road Accident Deaths,12977
2014,TOTAL,Economic Crime,800
2015,Ariyalur,Murder,310
2015,Ariyalur,Assault,1050
2015,Ariyalur,Theft,1050
2015,Ariyalur,Robbery,310
2015,Ariyalur,Kidnapping,310
2015,Ariyalur,Cyber Crime,650
2015,Ariyalur,Road Accident Deaths,144
2015,Ariyalur,Economic Crime,900
2015,Chennai,Murder,310
2015,Chennai,Assault,1050
2015,Chennai,Theft,1050
2015,Chennai,Robbery,310
2015,Chennai,Kidnapping,310
2015,Chennai,Cyber Crime,650
2015,Chennai,Road Accident Deaths,877
2015,Chennai,Economic Crime,900
2015,Coimbatore,Murder,310
2015,Coimbatore,Assault,1050
2015,Coimbatore,Theft,1050
2015,Coimbatore,Robbery,310
2015,Coimbatore,Kidnapping,310
2015,Coimbatore,Cyber Crime,650
2015,Coimbatore,Road Accident Deaths,533
2015,Coimbatore,Economic Crime,900
2015,Coimbatore  City,Murder,310
2015,Coimbatore  City,Assault,1050
2015,Coimbatore  City,Theft,1050
2015,Coimbatore  City,Robbery,310
2015,Coimbatore  City,Kidnapping,310
2015,Coimbatore  City,Cyber Crime,650
2015,Coimbatore  City,Road Accident Deaths,208
2015,Coimbatore  City,Economic Crime,900
2015,Cuddalore,Murder,310
2015,Cuddalore,Assault,1050
2015,Cuddalore,Theft,1050
2015,Cuddalore,Robbery,310
2015,Cuddalore,Kidnapping,310
2015,Cuddalore,Cyber Crime,650
2015,Cuddalore,Road Accident Deaths,472
2015,Cuddalore,Economic Crime,900
2015,Dharmapuri,Murder,310
2015,Dharmapuri,Assault,1050
2015,Dharmapuri,Theft,1050
2015,Dharmapuri,Robbery,310
2015,Dharmapuri,Kidnapping,310
2015,Dharmapuri,Cyber Crime,650
2015,Dharmapuri,Road Accident Deaths,277
2015,Dharmapuri,Economic Crime,900
2015,Dindigul,Murder,310
2015,Dindigul,Assault,1050
2015,Dindigul,Theft,1050
2015,Dindigul,Robbery,310
2015,Dindigul,Kidnapping,310
2015,Dindigul,Cyber Crime,650
2015,Dindigul,Road Accident Deaths,458
2015,Dindigul,Economic Crime,900
2015,Erode,Murder,310
2015,Erode,Assault,1050
2015,Erode,Theft,1050
2015,Erode,Robbery,310
2015,Erode,Kidnapping,310
2015,Erode,Cyber Crime,650
2015,Erode,Road Accident Deaths,444
2015,Erode,Economic Crime,900
2015,Kanchipuram,Murder,310
2015,Kanchipuram,Assault,1050
2015,Kanchipuram,Theft,1050
2015,Kanchipuram,Robbery,310
2015,Kanchipuram,Kidnapping,310
2015,Kanchipuram,Cyber Crime,650
2015,Kanchipuram,Road Accident Deaths,209
2015,Kanchipuram,Economic Crime,900
2015,Kanyakumari,Murder,310
2015,Kanyakumari,Assault,1050
2015,Kanyakumari,Theft,1050
2015,Kanyakumari,Robbery,310
2015,Kanyakumari,Kidnapping,310
2015,Kanyakumari,Cyber Crime,650
2015,Kanyakumari,Road Accident Deaths,276
2015,Kanyakumari,Economic Crime,900
2015,Karur,Murder,310
2015,Karur,Assault,1050
2015,Karur,Theft,1050
2015,Karur,Robbery,310
2015,Karur,Kidnapping,310
2015,Karur,Cyber Crime,650
2015,Karur,Road Accident Deaths,353
2015,Karur,Economic Crime,900
2015,Krishnagiri,Murder,310
2015,Krishnagiri,Assault,1050
2015,Krishnagiri,Theft,1050
2015,Krishnagiri,Robbery,310
2015,Krishnagiri,Kidnapping,310
2015,Krishnagiri,Cyber Crime,650
2015,Krishnagiri,Road Accident Deaths,488
2015,Krishnagiri,Economic Crime,900
2015,Madurai,Murder,310
2015,Madurai,Assault,1050
2015,Madurai,Theft,1050
2015,Madurai,Robbery,310
2015,Madurai,Kidnapping,310
2015,Madurai,Cyber Crime,650
2015,Madurai,Road Accident Deaths,476
2015,Madurai,Economic Crime,900
2015,Madurai City,Murder,310
2015,Madurai City,Assault,1050
2015,Madurai City,Theft,1050
2015,Madurai City,Robbery,310
2015,Madurai City,Kidnapping,310
2015,Madurai City,Cyber Crime,650
2015,Madurai City,Road Accident Deaths,136
2015,Madurai City,Economic Crime,900
2015,Nagapattinam,Murder,310
2015,Nagapattinam,Assault,1050
2015,Nagapattinam,Theft,1050
2015,Nagapattinam,Robbery,310
2015,Nagapattinam,Kidnapping,310
2015,Nagapattinam,Cyber Crime,650
2015,Nagapattinam,Road Accident Deaths,198
2015,Nagapattinam,Economic Crime,900
2015,Namakkal,Murder,310
2015,Namakkal,Assault,1050
2015,Namakkal,Theft,1050
2015,Namakkal,Robbery,310
2015,Namakkal,Kidnapping,310
2015,Namakkal,Cyber Crime,650
2015,Namakkal,Road Accident Deaths,371
2015,Namakkal,Economic Crime,900
2015,Nilgiris,Murder,310
2015,Nilgiris,Assault,1050
2015,Nilgiris,Theft,1050
2015,Nilgiris,Robbery,310
2015,Nilgiris,Kidnapping,310
2015,Nilgiris,Cyber Crime,650
2015,Nilgiris,Road Accident Deaths,28
2015,Nilgiris,Economic Crime,900
2015,Perambalur,Murder,310
2015,Perambalur,Assault,1050
2015,Perambalur,Theft,1050
2015,Perambalur,Robbery,310
2015,Perambalur,Kidnapping,310
2015,Perambalur,Cyber Crime,650
2015,Perambalur,Road Accident Deaths,147
2015,Perambalur,Economic Crime,900
2015,Pudukottai,Murder,310
2015,Pudukottai,Assault,1050
2015,Pudukottai,Theft,1050
2015,Pudukottai,Robbery,310
2015,Pudukottai,Kidnapping,310
2015,Pudukottai,Cyber Crime,650
2015,Pudukottai,Road Accident Deaths,324
2015,Pudukottai,Economic Crime,900
2015,Ramnathapuram,Murder,310
2015,Ramnathapuram,Assault,1050
2015,Ramnathapuram,Theft,1050
2015,Ramnathapuram,Robbery,310
2015,Ramnathapuram,Kidnapping,310
2015,Ramnathapuram,Cyber Crime,650
2015,Ramnathapuram,Road Accident Deaths,286
2015,Ramnathapuram,Economic Crime,900
2015,Railway Chennai,Murder,310
2015,Railway Chennai,Assault,1050
2015,Railway Chennai,Theft,1050
2015,Railway Chennai,Robbery,310
2015,Railway Chennai,Kidnapping,310
2015,Railway Chennai,Cyber Crime,650
2015,Railway Chennai,Road Accident Deaths,0
2015,Railway Chennai,Economic Crime,900
2015,Railway Trichy,Murder,310
2015,Railway Trichy,Assault,1050
2015,Railway Trichy,Theft,1050
2015,Railway Trichy,Robbery,310
2015,Railway Trichy,Kidnapping,310
2015,Railway Trichy,Cyber Crime,650
2015,Railway Trichy,Road Accident Deaths,0
2015,Railway Trichy,Economic Crime,900
2015,Salem,Murder,310
2015,Salem,Assault,1050
2015,Salem,Theft,1050
2015,Salem,Robbery,310
2015,Salem,Kidnapping,310
2015,Salem,Cyber Crime,650
2015,Salem,Road Accident Deaths,503
2015,Salem,Economic Crime,900
2015,Salem City,Murder,310
2015,Salem City,Assault,1050
2015,Salem City,Theft,1050
2015,Salem City,Robbery,310
2015,Salem City,Kidnapping,310
2015,Salem City,Cyber Crime,650
2015,Salem City,Road Accident Deaths,132
2015,Salem City,Economic Crime,900
2015,Sivagangai,Murder,310
2015,Sivagangai,Assault,1050
2015,Sivagangai,Theft,1050
2015,Sivagangai,Robbery,310
2015,Sivagangai,Kidnapping,310
2015,Sivagangai,Cyber Crime,650
2015,Sivagangai,Road Accident Deaths,288
2015,Sivagangai,Economic Crime,900
2015,Thanjavur,Murder,310
2015,Thanjavur,Assault,1050
2015,Thanjavur,Theft,1050
2015,Thanjavur,Robbery,310
2015,Thanjavur,Kidnapping,310
2015,Thanjavur,Cyber Crime,650
2015,Thanjavur,Road Accident Deaths,374
2015,Thanjavur,Economic Crime,900
2015,Theni,Murder,310
2015,Theni,Assault,1050
2015,Theni,Theft,1050
2015,Theni,Robbery,310
2015,Theni,Kidnapping,310
2015,Theni,Cyber Crime,650
2015,Theni,Road Accident Deaths,203
2015,Theni,Economic Crime,900
2015,Thirunelveli,Murder,310
2015,Thirunelveli,Assault,1050
2015,Thirunelveli,Theft,1050
2015,Thirunelveli,Robbery,310
2015,Thirunelveli,Kidnapping,310
2015,Thirunelveli,Cyber Crime,650
2015,Thirunelveli,Road Accident Deaths,238
2015,Thirunelveli,Economic Crime,900
2015,Thirunelveli City,Murder,310
2015,Thirunelveli City,Assault,1050
2015,Thirunelveli City,Theft,1050
2015,Thirunelveli City,Robbery,310
2015,Thirunelveli City,Kidnapping,310
2015,Thirunelveli City,Cyber Crime,650
2015,Thirunelveli City,Road Accident Deaths,68
2015,Thirunelveli City,Economic Crime,900
2015,Thiruvallur,Murder,310
2015,Thiruvallur,Assault,1050
2015,Thiruvallur,Theft,1050
2015,Thiruvallur,Robbery,310
2015,Thiruvallur,Kidnapping,310
2015,Thiruvallur,Cyber Crime,650
2015,Thiruvallur,Road Accident Deaths,286
2015,Thiruvallur,Economic Crime,900
2015,Thiruvannamalai,Murder,310
2015,Thiruvannamalai,Assault,1050
2015,Thiruvannamalai,Theft,1050
2015,Thiruvannamalai,Robbery,310
2015,Thiruvannamalai,Kidnapping,310
2015,Thiruvannamalai,Cyber Crime,650
2015,Thiruvannamalai,Road Accident Deaths,441
2015,Thiruvannamalai,Economic Crime,900
2015,Thiruvarur,Murder,310
2015,Thiruvarur,Assault,1050
2015,Thiruvarur,Theft,1050
2015,Thiruvarur,Robbery,310
2015,Thiruvarur,Kidnapping,310
2015,Thiruvarur,Cyber Crime,650
2015,Thiruvarur,Road Accident Deaths,145
2015,Thiruvarur,Economic Crime,900
2015,Thoothukudi,Murder,310
2015,Thoothukudi,Assault,1050
2015,Thoothukudi,Theft,1050
2015,Thoothukudi,Robbery,310
2015,Thoothukudi,Kidnapping,310
2015,Thoothukudi,Cyber Crime,650
2015,Thoothukudi,Road Accident Deaths,333
2015,Thoothukudi,Economic Crime,900
2015,Tiruppur,Murder,310
2015,Tiruppur,Assault,1050
2015,Tiruppur,Theft,1050
2015,Tiruppur,Robbery,310
2015,Tiruppur,Kidnapping,310
2015,Tiruppur,Cyber Crime,650
2015,Tiruppur,Road Accident Deaths,561
2015,Tiruppur,Economic Crime,900
2015,Tiruppur City,Murder,310
2015,Tiruppur City,Assault,1050
2015,Tiruppur City,Theft,1050
2015,Tiruppur City,Robbery,310
2015,Tiruppur City,Kidnapping,310
2015,Tiruppur City,Cyber Crime,650
2015,Tiruppur City,Road Accident Deaths,129
2015,Tiruppur City,Economic Crime,900
2015,Trichy,Murder,310
2015,Trichy,Assault,1050
2015,Trichy,Theft,1050
2015,Trichy,Robbery,310
2015,Trichy,Kidnapping,310
2015,Trichy,Cyber Crime,650
2015,Trichy,Road Accident Deaths,448
2015,Trichy,Economic Crime,900
2015,Trichy City,Murder,310
2015,Trichy City,Assault,1050
2015,Trichy City,Theft,1050
2015,Trichy City,Robbery,310
2015,Trichy City,Kidnapping,310
2015,Trichy City,Cyber Crime,650
2015,Trichy City,Road Accident Deaths,113
2015,Trichy City,Economic Crime,900
2015,Vellore,Murder,310
2015,Vellore,Assault,1050
2015,Vellore,Theft,1050
2015,Vellore,Robbery,310
2015,Vellore,Kidnapping,310
2015,Vellore,Cyber Crime,650
2015,Vellore,Road Accident Deaths,214
2015,Vellore,Economic Crime,900
2015,Villupuram,Murder,310
2015,Villupuram,Assault,1050
2015,Villupuram,Theft,1050
2015,Villupuram,Robbery,310
2015,Villupuram,Kidnapping,310
2015,Villupuram,Cyber Crime,650
2015,Villupuram,Road Accident Deaths,452
2015,Villupuram,Economic Crime,900
2015,Virudhunagar,Murder,310
2015,Virudhunagar,Assault,1050
2015,Virudhunagar,Theft,1050
2015,Virudhunagar,Robbery,310
2015,Virudhunagar,Kidnapping,310
2015,Virudhunagar,Cyber Crime,650
2015,Virudhunagar,Road Accident Deaths,371
2015,Virudhunagar,Economic Crime,900
2015,Cyber Cell,Murder,310
2015,Cyber Cell,Assault,1050
2015,Cyber Cell,Theft,1050
2015,Cyber Cell,Robbery,310
2015,Cyber Cell,Kidnapping,310
2015,Cyber Cell,Cyber Crime,650
2015,Cyber Cell,Road Accident Deaths,0
2015,Cyber Cell,Economic Crime,900
2015,Other Units,Murder,310
2015,Other Units,Assault,1050
2015,Other Units,Theft,1050
2015,Other Units,Robbery,310
2015,Other Units,Kidnapping,310
2015,Other Units,Cyber Crime,650
2015,Other Units,Road Accident Deaths,0
2015,Other Units,Economic Crime,900
2015,Chengalpattu,Murder,310
2015,Chengalpattu,Assault,1050
2015,Chengalpattu,Theft,1050
2015,Chengalpattu,Robbery,310
2015,Chengalpattu,Kidnapping,310
2015,Chengalpattu,Cyber Crime,650
2015,Chengalpattu,Road Accident Deaths,406
2015,Chengalpattu,Economic Crime,900
2015,Kallakurichi,Murder,310
2015,Kallakurichi,Assault,1050
2015,Kallakurichi,Theft,1050
2015,Kallakurichi,Robbery,310
2015,Kallakurichi,Kidnapping,310
2015,Kallakurichi,Cyber Crime,650
2015,Kallakurichi,Road Accident Deaths,229
2015,Kallakurichi,Economic Crime,900
2015,Ranipet,Murder,310
2015,Ranipet,Assault,1050
2015,Ranipet,Theft,1050
2015,Ranipet,Robbery,310
2015,Ranipet,Kidnapping,310
2015,Ranipet,Cyber Crime,650
2015,Ranipet,Road Accident Deaths,215
2015,Ranipet,Economic Crime,900
2015,Tiruppattur,Murder,310
2015,Tiruppattur,Assault,1050
2015,Tiruppattur,Theft,1050
2015,Tiruppattur,Robbery,310
2015,Tiruppattur,Kidnapping,310
2015,Tiruppattur,Cyber Crime,650
2015,Tiruppattur,Road Accident Deaths,196
2015,Tiruppattur,Economic Crime,900
2015,Tenkasi,Murder,310
2015,Tenkasi,Assault,1050
2015,Tenkasi,Theft,1050
2015,Tenkasi,Robbery,310
2015,Tenkasi,Kidnapping,310
2015,Tenkasi,Cyber Crime,650
2015,Tenkasi,Road Accident Deaths,202
2015,Tenkasi,Economic Crime,900
2015,TOTAL,Murder,310
2015,TOTAL,Assault,1050
2015,TOTAL,Theft,1050
2015,TOTAL,Robbery,310
2015,TOTAL,Kidnapping,310
